

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
026.582  000.234  000.126: require('cmp.utils.str')
026.647  000.064  000.064: require('cmp.utils.pattern')
027.045  000.139  000.139: require('cmp.utils.misc')
027.109  000.062  000.062: require('cmp.utils.buffer')
027.201  000.090  000.090: require('cmp.utils.api')
027.205  000.472  000.180: require('cmp.utils.keymap')
027.208  000.559  000.088: require('cmp.utils.feedkeys')
027.326  000.118  000.118: require('cmp.utils.async')
027.545  000.066  000.066: require('cmp.types.cmp')
027.710  000.163  000.163: require('cmp.types.lsp')
027.764  000.052  000.052: require('cmp.types.vim')
027.766  000.341  000.060: require('cmp.types')
027.834  000.067  000.067: require('cmp.utils.cache')
027.837  000.508  000.100: require('cmp.context')
028.320  000.125  000.125: require('cmp.config.mapping')
028.573  000.159  000.159: require('cmp.config.compare')
028.575  000.252  000.093: require('cmp.config.default')
028.588  000.539  000.161: require('cmp.config')
029.072  000.162  000.162: require('cmp.matcher')
029.088  000.499  000.337: require('cmp.entry')
029.093  001.255  000.217: require('cmp.source')
029.321  000.072  000.072: require('cmp.utils.event')
029.699  000.062  000.062: require('cmp.utils.options')
029.705  000.261  000.198: require('cmp.utils.window')
029.707  000.383  000.122: require('cmp.view.docs_view')
030.075  000.082  000.082: require('cmp.utils.autocmd')
030.082  000.375  000.293: require('cmp.view.custom_entries_view')
030.276  000.192  000.192: require('cmp.view.wildmenu_entries_view')
030.424  000.146  000.146: require('cmp.view.native_entries_view')
030.532  000.106  000.106: require('cmp.view.ghost_text_view')
030.538  001.444  000.170: require('cmp.view')
030.585  004.616  000.369: require('cmp.core')
030.714  000.064  000.064: require('cmp.config.sources')
030.778  000.062  000.062: require('cmp.config.window')
030.808  005.050  000.307: require('cmp')
031.478  000.031  000.031: require('luasnip.session')
031.484  000.308  000.277: require('luasnip.util.util')
031.613  000.128  000.128: require('luasnip.session.snippet_collection')
032.034  000.332  000.332: require('luasnip.util._builtin_vars')
032.085  000.470  000.138: require('luasnip.util.environ')
032.135  000.049  000.049: require('luasnip.util.extend_decorator')
032.255  000.032  000.032: require('luasnip.loaders._caches')
032.353  000.096  000.096: require('luasnip.util.path')
032.361  000.224  000.097: require('luasnip.loaders')
032.457  000.092  000.092: require('luasnip.util.log')
032.658  000.027  000.027: require('luasnip.util.types')
032.728  000.068  000.068: require('luasnip.util.ext_opts')
032.778  000.048  000.048: require('luasnip.extras.filetype_functions')
032.902  000.432  000.289: require('luasnip.config')
032.904  002.095  000.393: require('luasnip')
033.165  000.102  000.102: require('luasnip.loaders.util')
034.205  000.257  000.257: require('luasnip.nodes.util')
034.239  000.032  000.032: require('luasnip.util.events')
034.249  000.481  000.192: require('luasnip.nodes.node')
034.426  000.176  000.176: require('luasnip.nodes.insertNode')
034.484  000.056  000.056: require('luasnip.nodes.textNode')
034.576  000.089  000.089: require('luasnip.util.mark')
034.645  000.067  000.067: require('luasnip.util.pattern_tokenizer')
034.692  000.044  000.044: require('luasnip.util.dict')
034.744  001.453  000.539: require('luasnip.nodes.snippet')
035.175  000.091  000.091: require('luasnip.util.parser.neovim_ast')
035.261  000.083  000.083: require('luasnip.util.str')
035.614  000.077  000.077: require('luasnip.util.directed_graph')
035.619  000.719  000.469: require('luasnip.util.parser.ast_utils')
035.723  000.103  000.103: require('luasnip.nodes.functionNode')
035.951  000.226  000.226: require('luasnip.nodes.choiceNode')
036.139  000.186  000.186: require('luasnip.nodes.dynamicNode')
036.187  000.046  000.046: require('luasnip.util.functions')
036.193  001.448  000.168: require('luasnip.util.parser.ast_parser')
036.437  000.243  000.243: require('luasnip.util.parser.neovim_parser')
036.444  003.224  000.080: require('luasnip.util.parser')
036.447  003.280  000.056: require('luasnip.nodes.snippetProxy')
036.698  000.248  000.248: require('luasnip.util.jsonc')
036.703  003.797  000.167: require('luasnip/loaders/from_vscode')
042.567  016.885  005.943: require('cmp-config')
042.908  000.076  000.076: require('nightfox.lib.collect')
043.003  000.093  000.093: require('nightfox.util')
043.143  000.408  000.238: require('nightfox.config')
043.245  000.100  000.100: require('nightfox')
043.317  000.070  000.070: require('nightfox.override')
043.414  000.059  000.059: require('nightfox.lib.hash')
044.000  001.279  000.642: sourcing /home/pedro/.local/share/nvim/site/pack/packer/start/nightfox.nvim/colors/nordfox.vim
044.185  001.615  000.336: require('theme')
046.465  000.190  000.190: require('vim.lsp.log')
046.916  000.448  000.448: require('vim.lsp.protocol')
048.169  000.280  000.280: require('vim.lsp._snippet')
048.304  000.132  000.132: require('vim.highlight')
048.316  001.398  000.986: require('vim.lsp.util')
048.338  002.449  000.413: require('vim.lsp.handlers')
048.717  000.377  000.377: require('vim.lsp.rpc')
048.920  000.201  000.201: require('vim.lsp.sync')
049.277  000.355  000.355: require('vim.lsp.semantic_tokens')
049.725  000.446  000.446: require('vim.lsp.buf')
049.929  000.201  000.201: require('vim.lsp.diagnostic')
050.167  000.236  000.236: require('vim.lsp.codelens')
050.269  005.346  001.082: require('vim.lsp')
050.326  005.729  000.383: require('lspconfig.util')
050.329  005.928  000.199: require('lspconfig.configs')
050.330  006.105  000.176: require('lspconfig')
050.494  000.083  000.083: require('mason-core.path')
050.805  000.135  000.135: require('mason-core.functional')
051.013  000.062  000.062: require('mason-core.functional.data')
051.019  000.204  000.141: require('mason-core.functional.function')
051.108  000.081  000.081: require('mason-core.functional.relation')
051.193  000.079  000.079: require('mason-core.functional.logic')
051.210  000.715  000.216: require('mason-core.platform')
051.304  000.093  000.093: require('mason.settings')
051.308  000.977  000.086: require('mason')
051.608  000.170  000.170: require('mason-core.log')
051.611  000.301  000.131: require('mason-lspconfig')
051.612  007.425  000.042: require('lsp')
051.988  000.171  000.171: require('mason-core.functional.list')
052.101  000.110  000.110: require('mason-core.functional.string')
052.122  000.482  000.202: require('mason.api.command')
052.240  000.113  000.113: require('mason-registry.sources')
052.312  000.052  000.052: require('mason-lspconfig.settings')
052.412  000.099  000.099: require('mason-lspconfig.lspconfig_hook')
052.656  000.096  000.096: require('mason-core.functional.table')
052.703  000.273  000.178: require('mason-lspconfig.mappings.server')
052.968  000.078  000.078: require('mason-core.EventEmitter')
053.063  000.093  000.093: require('mason-core.optional')
053.361  000.172  000.172: require('mason-core.async')
053.420  000.056  000.056: require('mason-core.async.uv')
053.426  000.361  000.133: require('mason-core.fs')
053.441  000.737  000.205: require('mason-registry')
053.490  000.046  000.046: require('mason-lspconfig.server_config_extensions')
053.596  000.105  000.105: require('lspconfig.server_configurations.omnisharp')
053.806  000.048  000.048: require('mason-core.notify')
053.874  000.066  000.066: require('mason-core.functional.number')
053.890  000.279  000.165: require('mason-lspconfig.api.command')
054.364  000.143  000.143: require('lspconfig.server_configurations.tsserver')
054.727  000.044  000.044: require('lsp.lsp_setup')
055.681  000.937  000.937: require('vim.diagnostic')
056.135  000.196  000.196: require('null-ls.utils')
056.146  000.320  000.123: require('null-ls.config')
056.268  000.062  000.062: require('null-ls.helpers.cache')
056.438  000.168  000.168: require('null-ls.helpers.diagnostics')
056.499  000.059  000.059: require('null-ls.helpers.formatter_factory')
056.817  000.087  000.087: require('null-ls.logger')
056.918  000.099  000.099: require('null-ls.state')
056.921  000.420  000.234: require('null-ls.helpers.generator_factory')
057.133  000.099  000.099: require('null-ls.helpers.command_resolver')
057.136  000.213  000.114: require('null-ls.helpers.make_builtin')
057.230  000.093  000.093: require('null-ls.helpers.range_formatting_args_factory')
