1password 8.9.10-43
accountsservice 22.08.8-2
adobe-source-han-sans-cn-fonts 2.004-1
adobe-source-han-sans-jp-fonts 2.004-1
adobe-source-han-sans-kr-fonts 2.004-1
adobe-source-sans-fonts 3.046-1
aic94xx-firmware 30-9
alacritty 0.11.0-2
alsa-firmware 1.2.4-2
alsa-lib 1.2.8-1
alsa-plugins 1:1.2.7.1-1
alsa-utils 1.2.8-1
android-google-play-licensing 1:1.r02-1
android-platform 33_r02-1
android-sdk 26.1.1-2
android-sdk-build-tools r33.0.1-2
android-sdk-cmdline-tools-latest 8.0-1
android-sdk-platform-tools 33.0.3-1
android-udev 20230104-1
appstream 0.15.6-1
arandr 0.1.10-7
arc-darkest-theme-git r172.c8bdaead59-1
arc-gtk-theme 20221218-1
arch-install-scripts 28-1
archiso 69-1
archlinux-keyring 20221220-1
archlinux-logout-git 22.12-02
archlinux-tweak-tool-git 23.01-02
arcolinux-alacritty-git 22.05-01
arcolinux-arc-kde 20220908-01
arcolinux-bin-git 22.12-02
arcolinux-config-all-desktops-git 22.07-01
arcolinux-conky-collection-git 22.02-04
arcolinux-dconf-all-desktops-git 22.07-01
arcolinux-desktop-trasher-git 22.11-10
arcolinux-fonts-git 21.07-01
arcolinux-fvwm3-git 22.05-03
arcolinux-grub-theme-vimix-git 20220707-01
arcolinux-gtk3-sardi-arc-git 21.07-01
arcolinux-hblock-git 3.4.0-1
arcolinux-i3wm-git 22.06-04
arcolinux-keyring 20251209-3
arcolinux-kvantum-git 22.06-01
arcolinux-local-applications-all-hide-git 23.01-01
arcolinux-local-applications-git 22.04-01
arcolinux-local-xfce4-git 21.07-01
arcolinux-meta-steam-nvidia 22.03-01
arcolinux-mirrorlist-git 22.12-01
arcolinux-neofetch-git 22.07-04
arcolinux-nitrogen-git 21.07-01
arcolinux-pamac-all 10.4.3-1
arcolinux-paru-git 21.07-01
arcolinux-pipemenus-git 22.02-01
arcolinux-polybar-git 22.06-01
arcolinux-qt5-git 21.07-01
arcolinux-rofi-git 21.09-02
arcolinux-rofi-themes-git 21.07-01
arcolinux-root-git 22.12-05
arcolinux-sddm-simplicity-git 22.12-01
arcolinux-system-config-git 23.01-01
arcolinux-systemd-services-git 22.10-02
arcolinux-variety-autostart-git 21.07-01
arcolinux-variety-git 22.12-02
arcolinux-volumeicon-git 21.07-01
arcolinux-wallpapers-git 22.12-01
arcolinux-welcome-app-git 22.11-01
arcolinux-xfce-git 22.12-02
arcolinux-zsh-git 22.12-05
asciinema 2.2.0-2
atril 1.26.0-3
autoconf 2.71-1
