1password 8.10.7-41
jfsutils 1.1.15-8
jq 1.6-4
jsoncpp 1.9.5-2
kitty 0.28.1-2
kvantum 1.0.10-1
laptop-detect 0.16-1
less 1:633-1
lib32-sdl_image 1.2.12-8
libdvdcss 1.4.3-1
libfido2 1.13.0-1
libgsf 1.14.50-1
libmtp 1.1.21-1
libopenraw 0.3.5-1
libpqxx 7.6.0-1
libpwquality 1.4.5-3
libtool 2.4.7+4+g1ec8fa28-3
libusb-compat 0.1.8-1
lightdm 1:1.32.0-4
lightdm-gtk-greeter 1:2.0.8-3
lightdm-gtk-greeter-settings 1.2.2-8
lightdm-mini-greeter 0.5.1-1
lightdm-slick-greeter 1.8.0-1
lightdm-webkit-theme-aether 2.2.2-1
lightdm-webkit2-theme-reactive 0.4.9-2
linux 6.3.5.arch1-1
linux-atm 2.5.2-8
linux-firmware 20230404.2e92a49f-1
linux-firmware-marvell 20230404.2e92a49f-1
linux-firmware-qlogic 20230404.2e92a49f-1
linux-headers 6.3.5.arch1-1
linux-lts 6.1.31-1
linux-lts-headers 6.1.31-1
logrotate 3.21.0-2
lsb-release 2.0.r48.3cf5103-1
lsscsi 0.32-1
lvm2 2.03.21-1
lxappearance 0.6.3-4
m4 1.4.19-3
make 4.4.1-2
man-db 2.11.2-1
man-pages 6.04-1
mc 4.8.29-2
mcmojave-cursors 1.0-2
mdadm 4.2-2
memtest86+ 6.20-1
mesa 23.1.1-1
mesa-utils 9.0.0-2
migrate 4.15.2-1
miniconda3 23.3.1-1
mintstick-git r264.750c6bb-1
mkinitcpio 36-1
mkinitcpio-nfs-utils 0.3-8
mkinitcpio-openswap 0.1.0-3
mlocate 0.26.git.20170220-7
mobile-broadband-provider-info 20230416-1
modemmanager 1.20.6-1
mpc 0.34-3
mpd 0.23.13-1
mpv 1:0.35.1-6
mtools 1:4.0.43-1
mtpfs 1.1-4
nano 7.2-1
nbd 3.25-1
ndisc6 1.0.7-1
neofetch 7.1.0-2
neovim 0.9.1-1
network-manager-applet 1.32.0-2
networkmanager 1.42.6-1
networkmanager-openconnect 1.2.10-1
networkmanager-openvpn 1.10.2-1
networkmanager-pptp 1.2.12-1
networkmanager-vpnc 1.2.8-3
nfs-utils 2.6.3-1
ngrok 3.3.0-1
nilfs-utils 2.2.9-2
ninja 1.11.1-3
nitrogen 1.6.1-4
nodejs 20.2.0-1
noto-fonts 20230601-1
npm 8.19.2-2
nss-mdns 0.15.1-1
ntfs-3g 2022.10.3-1
ntp 4.2.8.p16-1
numlockx 1.2-5
nvidia-dkms 530.41.03-1
nvidia-settings 530.41.03-1
nvidia-utils 530.41.03-1
nvm 0.39.3-1
nvme-cli 2.4-2
oh-my-zsh-git r6905.fb4213c34-1
okular 23.04.1-1
open-iscsi 2.1.8-2
openconnect 1:9.12-1
opencv 4.7.0-11
openresolv 3.13.1-1
openssh 9.3p1-1
openvpn 2.6.4-1
os-prober 1.81-1
p7zip 1:17.05-1
pacman 6.0.2-7
paman 0.9.4-6
partclone 0.3.23-1
parted 3.6-1
partimage 0.6.9-14
paru-bin 1.11.2-1
patch 2.7.6-10
pavucontrol 1:5.0+r61+gee77d86-2
pcsclite 1.9.9-3
